Comuna	Código Comuna	Región	Habitantes	Índice de desarrollo humano	índice pobreza multidimensional	Valor Índice de inclusión digital	Categoría Índice de inclusión digital	Valor sub indicador 1_Acceso	Categoría sub indicador 1_Acceso	Valor sub indicador 2_Político	Categoría sub indicador 2_Político	Valor sub indicador 3_Educativo	Categoría sub indicador 3_Educativo	Valor Índice de inclusión digital	Valor sub indicador 1_Acceso	Valor sub indicador 2_Político	Valor sub indicador 3_Educativo
Arica	15101	Arica	255.195	0,633	0,183	0,572	Alto	0,587	Alto	0,618	Alto	0,51	Medio Alto	0,571635231	0,586530909	0,618020058	0,510354724
Camarones	15102	Arica	1.244	0,58	0,37			0,365	Bajo	0,411	Bajo				0,364630491	0,411176958	
General Lagos	15202	Arica	804		0,586			0,374	Bajo	0,483	Medio bajo				0,374156038	0,482776493	
Putre	15201	Arica	2.559		0,309			0,354	Bajo	0,385	Bajo				0,353895908	0,384658612	
Alto Hospicio	01107	Tarapacá	140.282	0,578	0,326	0,576	Alto	0,511	Medio Alto	0,554	Medio Alto	0,663	Alto	0,576091613	0,511261662	0,554376027	0,662637152
Camiña	01402	Tarapacá	1.379	0,463	0,223			0,366	Bajo	0,358	Bajo				0,366095898	0,358140266	
Colchane	01403	Tarapacá	1.569	0,407	0,3			0,366	Bajo	0,403	Bajo				0,366227076	0,403221454	
Huara	01404	Tarapacá	3.080	0,515	0,386			0,36	Bajo	0,374	Bajo				0,360389103	0,374051273	
Iquique	01101	Tarapacá	230.595	0,685	0,183	0,563	Alto	0,592	Alto	0,637	Alto	0,46	Medio bajo	0,562745709	0,591847601	0,636582900	0,459806626
Tirúa	08207	Biobío	11.088	0,356	0,341	0,346	Bajo	0,356	Bajo	0,409	Bajo	0,272	Bajo	0,345568728	0,355812912	0,408525123	0,272368150
Taltal	02104	Antofagasta	13.929	0,64	0,211	0,458	Medio bajo	0,51	Medio Alto	0,435	Medio bajo	0,43	Bajo	0,458080954	0,509685468	0,435043470	0,429513924
Antofagasta	02101	Antofagasta	441.211	0,696	0,167	0,561	Alto	0,616	Alto	0,602	Alto	0,464	Medio bajo	0,560805258	0,616088694	0,602109050	0,464218030
Calama	02201	Antofagasta	195.423	0,689	0,168	0,537	Medio Alto	0,597	Alto	0,509	Medio Alto	0,504	Medio bajo	0,536698612	0,596724571	0,509294839	0,504076426
Villa Alegre	07407	Maule	17.913	0,574	0,133	0,348	Bajo	0,415	Medio bajo	0,538	Medio Alto	0,09	Bajo	0,347688642	0,414622728	0,538465020	0,089978178
Mejillones	02102	Antofagasta	15.659	0,647	0,199	0,511	Medio Alto	0,51	Medio Alto	0,666	Alto	0,358	Bajo	0,511485970	0,510474198	0,665753081	0,358230629
Ollagüe	02202	Antofagasta	274		0,161			0,392	Bajo	0,366	Bajo				0,391656922	0,366095769	
Lolol	06304	O'Higgins	7.420	0,511	0,22	0,458	Medio bajo	0,416	Medio bajo	0,43	Medio bajo	0,527	Medio Alto	0,457637571	0,416474354	0,429739800	0,526698559
Sierra Gorda	02103	Antofagasta	1.792	0,618	0,165			0,577	Alto	0,69	Alto				0,576531862	0,689619593	
Nancagua	06305	O'Higgins	19.589	0,539	0,155	0,459	Medio bajo	0,452	Medio bajo	0,467	Medio bajo	0,456	Medio bajo	0,458504249	0,452427440	0,466865485	0,456219821
Tocopilla	02301	Antofagasta	28.333	0,631	0,205	0,575	Alto	0,589	Alto	0,549	Medio Alto	0,586	Alto	0,574810766	0,589459823	0,549072358	0,585900116
Treguaco	16207	Ñuble	5.752	0,487	0,188	0,35	Bajo	0,414	Bajo	0,348	Bajo	0,288	Bajo	0,349929112	0,414233089	0,347532927	0,288021320
Queilén	10207	Los Lagos	5.543	0,524	0,293	0,356	Bajo	0,431	Medio bajo	0,191	Bajo	0,446	Medio bajo	0,355948217	0,430532504	0,191074685	0,446237461
Chañaral	03201	Atacama	13.062	0,63	0,228			0,396	Bajo	0,554	Medio Alto				0,396026674	0,554376027	
Copiapó	03101	Atacama	175.240	0,688	0,198	0,542	Medio Alto	0,605	Alto	0,483	Medio bajo	0,539	Medio Alto	0,542231898	0,604818183	0,482776493	0,539101019
San Pablo	10307	Los Lagos	10.543	0,568	0,255	0,36	Bajo	0,463	Medio bajo	0,374	Bajo	0,242	Bajo	0,359610425	0,463055330	0,374051273	0,241724671
Alto Biobío	08314	Biobío	6.803	0,298	0,389	0,367	Bajo	0,365	Bajo	0,448	Medio bajo	0,287	Bajo	0,366633026	0,364960936	0,448302643	0,286635499
Purén	09208	La Araucanía	12.118	0,49	0,309	0,459	Medio bajo	0,487	Medio bajo	0,403	Bajo	0,486	Medio bajo	0,458613887	0,486783285	0,403221454	0,485836924
Tierra Amarilla	03103	Atacama	14.419	0,568	0,345			0,424	Medio bajo	0,374	Bajo				0,424186753	0,374051273	
Vallenar	03301	Atacama	57.338	0,659	0,165	0,533	Medio Alto	0,567	Medio Alto	0,43	Medio bajo	0,602	Alto	0,532806937	0,567000393	0,429739800	0,601680616
Andacollo	04103	Coquimbo	11.833	0,618	0,194	0,532	Medio Alto	0,455	Medio bajo	0,393	Bajo	0,747	Alto	0,531857759	0,455251669	0,393451537	0,746870070
Quemchi	10209	Los Lagos	8.760	0,48	0,234	0,369	Bajo	0,399	Bajo	0,422	Bajo	0,286	Bajo	0,368705803	0,398583855	0,421784296	0,285749256
Combarbalá	04302	Coquimbo	13.870	0,561	0,224	0,511	Medio Alto	0,422	Medio bajo	0,501	Medio Alto	0,61	Alto	0,510847435	0,421552719	0,501339335	0,609650251
Coquimbo	04102	Coquimbo	271.095	0,651	0,167	0,571	Alto	0,625	Alto	0,562	Medio Alto	0,526	Medio Alto	0,570856985	0,624580084	0,562331531	0,525659339
Castro	10201	Los Lagos	48.482	0,618	0,182	0,46	Medio bajo	0,55	Medio Alto	0,472	Medio bajo	0,359	Bajo	0,460295684	0,550001767	0,472169154	0,358716132
La Higuera	04104	Coquimbo	4.517	0,521	0,295			0,399	Bajo	0,419	Bajo				0,399271400	0,419132462	
La Serena	04101	Coquimbo	263.144	0,695	0,131	0,615	Alto	0,64	Alto	0,7	Alto	0,504	Medio bajo	0,614783604	0,639662184	0,700226931	0,504461695
Los Vilos	04203	Coquimbo	24.170	0,559	0,209	0,522	Medio Alto	0,558	Medio Alto	0,538	Medio Alto	0,47	Medio bajo	0,522096446	0,557698028	0,538465020	0,470126291
Cochrane	11301	Aysén	3.731	0,657	0,143	0,46	Medio bajo	0,553	Medio Alto	0,403	Bajo	0,423	Bajo	0,459789757	0,553109924	0,403221454	0,423037893
Ovalle	04301	Coquimbo	123.724	0,597	0,18	0,521	Medio Alto	0,513	Medio Alto	0,544	Medio Alto	0,508	Medio Alto	0,521469590	0,513088573	0,543768689	0,507551509
Marchihue	06204	O'Higgins	7.699	0,558	0,167	0,374	Bajo	0,391	Bajo	0,382	Bajo	0,349	Bajo	0,374059026	0,390711819	0,382006777	0,349458483
Negrete	08307	Biobío	10.539	0,572	0,148	0,461	Medio bajo	0,4	Bajo	0,456	Medio bajo	0,527	Medio Alto	0,461156581	0,400118093	0,456258146	0,527093504
Río Hurtado	04305	Coquimbo	4.326	0,596	0,228			0,346	Bajo	0,504	Medio Alto				0,345530328	0,503991170	
Corral	14102	Los Ríos	5.432	0,507	0,232	0,375	Bajo	0,412	Bajo	0,464	Medio bajo	0,249	Bajo	0,375246223	0,412402968	0,464213650	0,249122052
Vicuña	04106	Coquimbo	30.370	0,581	0,195	0,541	Medio Alto	0,433	Medio bajo	0,546	Medio Alto	0,644	Alto	0,541265285	0,433314686	0,546420523	0,644060645
Algarrobo	05602	Valparaíso	15.886	0,624	0,196	0,597	Alto	0,811	Alto	0,573	Alto	0,408	Bajo	0,597369928	0,810770203	0,572938870	0,408400711
Ninhue	16204	Ñuble	5.370	0,436	0,214	0,464	Medio bajo	0,396	Bajo	0,422	Bajo	0,574	Alto	0,463927344	0,396450205	0,421784296	0,573547530
Calera	05502	Valparaíso	53.855	0,595	0,167	0,562	Alto	0,605	Alto	0,528	Medio Alto	0,552	Medio Alto	0,561623610	0,605406543	0,527857681	0,551606604
Calle Larga	05302	Valparaíso	17.388	0,641	0,145	0,564	Alto	0,526	Medio Alto	0,557	Medio Alto	0,608	Alto	0,563702952	0,526173147	0,557027862	0,607907848
Cartagena	05603	Valparaíso	26.652	0,515	0,284	0,572	Alto	0,6	Alto	0,655	Alto	0,462	Medio bajo	0,572475798	0,600403734	0,655145743	0,461877919
Casablanca	05102	Valparaíso	30.212	0,625	0,196	0,561	Alto	0,521	Medio Alto	0,743	Alto	0,42	Bajo	0,561282570	0,520708768	0,742656285	0,420482656
Putaendo	05705	Valparaíso	17.945	0,552	0,232	0,512	Medio Alto	0,488	Medio bajo	0,43	Medio bajo	0,618	Alto	0,512034488	0,487884474	0,429739800	0,618479189
Concón	05103	Valparaíso	47.642	0,769	0,134	0,622	Alto	0,791	Alto	0,528	Medio Alto	0,548	Medio Alto	0,622287142	0,791330668	0,527857681	0,547673077
El Quisco	05604	Valparaíso	18.593	0,549	0,117	0,556	Alto	0,727	Alto	0,645	Alto	0,296	Bajo	0,556109287	0,727417673	0,644538404	0,296371783
El Tabo	05605	Valparaíso	15.006	0,539	0,207	0,604	Alto	0,736	Alto	0,645	Alto	0,43	Bajo	0,603561749	0,736049756	0,644538404	0,430097085
