anio	codigo_comuna	comuna	tipo_comuna	id_region	region	habitantes	indice_de_desarrollo_humano	indice_pobreza_multidimensional	v	v_ranking	v_cat	v1	v2	v3	v1_ranking	v2_ranking	v3_ranking	v1_cat	v2_cat	v3_cat	v_gauge	v1_gauge	v2_gauge	v3_gauge
2024	01101	Iquique	Urbano	1	Tarapacá	199587	0.685	0.183	0.563	61	ALTO	0.592	0.637	0.46	63	39	209	ALTO	ALTO	MEDIO BAJO	0.8	0.82	0.89	0.31
2024	01107	Alto Hospicio	Urbano	1	Tarapacá	142086	0.578	0.326	0.576	40	ALTO	0.511	0.554	0.663	149	92	16	MEDIO ALTO	MEDIO ALTO	ALTO	0.87	0.57	0.735	0.951
2024	01401	Pozo Almonte	Rural	1	Tarapacá	16878	0.617	0.25	0.482	188	MEDIO BAJO	0.445	0.509	0.491	226	146	169	MEDIO BAJO	MEDIO ALTO	MEDIO BAJO	0.377	0.346	0.578	0.44
2024	01402	Camiña	Rural	1	Tarapacá	1335	0.463	0.223	NA	NA	NA	0.366	0.358	NA	321	331	NA	BAJO	BAJO	NA	NA	0.072	0.043	NA
2024	01403	Colchane	Rural	1	Tarapacá	790	0.407	0.3	NA	NA	NA	0.366	0.403	NA	322	289	NA	BAJO	BAJO	NA	NA	0.072	0.175	NA
2024	01404	Huara	Rural	1	Tarapacá	2858	0.515	0.386	NA	NA	NA	0.36	0.374	NA	330	316	NA	BAJO	BAJO	NA	NA	0.046	0.092	NA
2024	01405	Pica	Rural	1	Tarapacá	6272	0.627	0.168	0.442	255	BAJO	0.363	0.414	0.548	327	273	98	BAJO	BAJO	MEDIO ALTO	0.155	0.055	0.21	0.682
2024	02101	Antofagasta	Urbano	2	Antofagasta	401096	0.696	0.167	0.561	64	ALTO	0.616	0.602	0.464	48	60	201	ALTO	ALTO	MEDIO BAJO	0.79	0.863	0.828	0.333
2024	02102	Mejillones	Rural	2	Antofagasta	14084	0.647	0.199	0.511	149	MEDIO ALTO	0.51	0.666	0.358	150	23	273	MEDIO ALTO	ALTO	BAJO	0.513	0.567	0.936	0.095
2024	02103	Sierra Gorda	Rural	2	Antofagasta	1472	0.618	0.165	NA	NA	NA	0.577	0.69	NA	85	14	NA	ALTO	ALTO	NA	NA	0.756	0.968	NA
2024	02104	Taltal	Rural	2	Antofagasta	12097	0.64	0.211	0.458	224	MEDIO BAJO	0.51	0.435	0.43	151	247	239	MEDIO ALTO	MEDIO BAJO	BAJO	0.257	0.567	0.285	0.207
2024	02201	Calama	Urbano	2	Antofagasta	166334	0.689	0.168	0.537	110	MEDIO ALTO	0.597	0.509	0.504	61	148	153	ALTO	MEDIO ALTO	MEDIO BAJO	0.637	0.826	0.578	0.493
2024	02202	Ollagüe	Rural	2	Antofagasta	256	NA	0.161	NA	NA	NA	0.392	0.366	NA	291	323	NA	BAJO	BAJO	NA	NA	0.158	0.08	NA
2024	02203	San Pedro de Atacama	Rural	2	Antofagasta	9843	0.565	0.225	0.479	196	MEDIO BAJO	0.379	0.576	0.482	308	75	181	BAJO	ALTO	MEDIO BAJO	0.36	0.112	0.785	0.41
2024	02301	Tocopilla	Rural	2	Antofagasta	25400	0.631	0.205	0.575	43	ALTO	0.589	0.549	0.586	66	106	47	ALTO	MEDIO ALTO	ALTO	0.863	0.814	0.695	0.854
2024	02302	María Elena	Rural	2	Antofagasta	4834	0.702	0.152	0.394	288	BAJO	0.376	0.366	0.441	309	324	228	BAJO	BAJO	BAJO	0.049	0.106	0.08	0.243
2024	03101	Copiapó	Urbano	3	Atacama	168831	0.688	0.198	0.542	101	MEDIO ALTO	0.605	0.483	0.539	54	178	109	ALTO	MEDIO BAJO	MEDIO ALTO	0.673	0.846	0.494	0.647
2024	03102	Caldera	Rural	3	Atacama	18805	0.668	0.197	0.449	245	BAJO	0.534	0.337	0.476	127	338	183	MEDIO ALTO	BAJO	MEDIO BAJO	0.188	0.634	0.023	0.393
2024	03103	Tierra Amarilla	Rural	3	Atacama	11846	0.568	0.345	NA	NA	NA	0.424	0.374	NA	247	317	NA	MEDIO BAJO	BAJO	NA	NA	0.288	0.092	NA
2024	03201	Chañaral	Rural	3	Atacama	12345	0.63	0.228	NA	NA	NA	0.396	0.554	NA	286	100	NA	BAJO	MEDIO ALTO	NA	NA	0.178	0.735	NA
2024	03202	Diego de Almagro	Rural	3	Atacama	11397	0.72	0.189	0.414	275	BAJO	0.464	0.329	0.45	199	340	221	MEDIO BAJO	BAJO	MEDIO BAJO	0.089	0.424	0.017	0.267
2024	03301	Vallenar	Mixto	3	Atacama	54222	0.659	0.165	0.533	118	MEDIO ALTO	0.567	0.43	0.602	97	250	33	MEDIO ALTO	MEDIO BAJO	ALTO	0.61	0.724	0.282	0.896
2024	03302	Alto Del Carmen	Rural	3	Atacama	4788	0.566	0.279	0.396	286	BAJO	0.354	0.366	0.469	339	325	195	BAJO	BAJO	MEDIO BAJO	0.053	0.023	0.08	0.357
2024	03303	Freirina	Rural	3	Atacama	7577	0.604	0.286	0.39	291	BAJO	0.361	0.385	0.423	329	307	246	BAJO	BAJO	BAJO	0.036	0.049	0.121	0.188
2024	03304	Huasco	Rural	3	Atacama	9369	0.647	0.178	0.489	180	MEDIO BAJO	0.381	0.647	0.438	305	32	233	BAJO	ALTO	BAJO	0.407	0.124	0.91	0.23
2024	04101	La Serena	Urbano	4	Coquimbo	250141	0.695	0.131	0.615	12	ALTO	0.64	0.7	0.504	32	8	154	ALTO	ALTO	MEDIO BAJO	0.967	0.913	0.98	0.493
2024	04102	Coquimbo	Urbano	4	Coquimbo	263719	0.651	0.167	0.571	52	ALTO	0.625	0.562	0.526	41	89	124	ALTO	MEDIO ALTO	MEDIO ALTO	0.833	0.884	0.747	0.599
2024	04103	Andacollo	Rural	4	Coquimbo	11566	0.618	0.194	0.532	122	MEDIO ALTO	0.455	0.393	0.747	212	302	3	MEDIO BAJO	BAJO	ALTO	0.6	0.39	0.132	0.994
2024	04104	La Higuera	Rural	4	Coquimbo	4335	0.521	0.295	NA	NA	NA	0.399	0.419	NA	282	270	NA	BAJO	BAJO	NA	NA	0.19	0.221	NA
2024	04105	Paihuano	Rural	4	Coquimbo	4649	0.572	0.151	0.451	243	BAJO	0.354	0.419	0.58	340	271	55	BAJO	BAJO	ALTO	0.197	0.023	0.221	0.825
2024	04106	Vicuña	Rural	4	Coquimbo	28047	0.581	0.195	0.541	102	MEDIO ALTO	0.433	0.546	0.644	238	108	20	MEDIO BAJO	MEDIO ALTO	ALTO	0.663	0.311	0.692	0.938
2024	04201	Illapel	Rural	4	Coquimbo	32009	0.634	0.17	0.505	157	MEDIO BAJO	0.48	0.472	0.564	187	194	75	MEDIO BAJO	MEDIO BAJO	ALTO	0.48	0.459	0.442	0.76
2024	04202	Canela	Rural	4	Coquimbo	9639	0.516	0.239	0.406	281	BAJO	0.418	0.348	0.453	253	334	218	MEDIO BAJO	BAJO	MEDIO BAJO	0.069	0.267	0.037	0.28
2024	04203	Los Vilos	Rural	4	Coquimbo	22879	0.559	0.209	0.522	135	MEDIO ALTO	0.558	0.538	0.47	103	115	193	MEDIO ALTO	MEDIO ALTO	MEDIO BAJO	0.553	0.706	0.674	0.36
2024	04204	Salamanca	Rural	4	Coquimbo	27823	0.649	0.14	0.442	256	BAJO	0.399	0.366	0.562	283	326	78	BAJO	BAJO	MEDIO ALTO	0.155	0.19	0.08	0.75
2024	04301	Ovalle	Urbano	4	Coquimbo	118696	0.597	0.18	0.521	136	MEDIO ALTO	0.513	0.544	0.508	147	112	149	MEDIO ALTO	MEDIO ALTO	MEDIO ALTO	0.55	0.576	0.677	0.507
2024	04302	Combarbalá	Rural	4	Coquimbo	12954	0.561	0.224	0.511	150	MEDIO ALTO	0.422	0.501	0.61	249	158	29	MEDIO BAJO	MEDIO ALTO	ALTO	0.513	0.279	0.552	0.909
2024	04303	Monte Patria	Rural	4	Coquimbo	29997	0.533	0.232	0.491	177	MEDIO BAJO	0.388	0.584	0.503	296	70	155	BAJO	ALTO	MEDIO BAJO	0.413	0.147	0.799	0.487
2024	04304	Punitaqui	Rural	4	Coquimbo	12076	0.571	0.268	0.483	187	MEDIO BAJO	0.401	0.531	0.518	277	122	129	BAJO	MEDIO ALTO	MEDIO ALTO	0.38	0.201	0.648	0.575
2024	04305	Río Hurtado	Rural	4	Coquimbo	4334	0.596	0.228	NA	NA	NA	0.346	0.504	NA	342	153	NA	BAJO	MEDIO ALTO	NA	NA	0.011	0.558	NA
2024	05101	Valparaíso	Urbano	5	Valparaíso	284938	0.625	0.191	0.616	10	ALTO	0.628	0.769	0.452	37	3	219	ALTO	ALTO	MEDIO BAJO	0.97	0.895	0.997	0.273
2024	05102	Casablanca	Mixto	5	Valparaíso	29876	0.625	0.196	0.561	65	ALTO	0.521	0.743	0.42	136	5	248	MEDIO ALTO	ALTO	BAJO	0.79	0.608	0.988	0.178
2024	05103	Concón	Mixto	5	Valparaíso	48294	0.769	0.134	0.622	9	ALTO	0.791	0.528	0.548	2	128	99	ALTO	MEDIO ALTO	MEDIO ALTO	0.977	0.997	0.645	0.682
2024	05104	Juan Fernández	Rural	5	Valparaíso	904	0.69	0.056	NA	NA	NA	0.48	0.411	NA	188	279	NA	MEDIO BAJO	BAJO	NA	NA	0.459	0.207	NA
2024	05105	Puchuncaví	Mixto	5	Valparaíso	22539	0.606	0.316	0.544	95	MEDIO ALTO	0.694	0.523	0.416	14	131	255	ALTO	MEDIO ALTO	BAJO	0.69	0.962	0.622	0.161
2024	05107	Quintero	Mixto	5	Valparaíso	35754	0.605	0.234	0.535	115	MEDIO ALTO	0.578	0.554	0.474	83	101	189	ALTO	MEDIO ALTO	MEDIO BAJO	0.62	0.765	0.735	0.38
2024	05109	Viña del Mar	Urbano	5	Valparaíso	334871	0.696	0.149	0.643	3	ALTO	0.688	0.743	0.499	15	6	160	ALTO	ALTO	MEDIO BAJO	0.993	0.959	0.988	0.473
2024	05201	Isla de Pascua	Rural	5	Valparaíso	4800	0.674	0.125	0.398	284	BAJO	0.462	0.411	0.321	202	280	288	MEDIO BAJO	BAJO	BAJO	0.062	0.416	0.207	0.046
2024	05301	Los Andes	Urbano	5	Valparaíso	63440	0.675	0.152	0.594	25	ALTO	0.656	0.607	0.519	24	59	128	ALTO	ALTO	MEDIO ALTO	0.923	0.936	0.834	0.579
2024	05302	Calle Larga	Mixto	5	Valparaíso	16597	0.641	0.145	0.564	60	ALTO	0.526	0.557	0.608	131	91	30	MEDIO ALTO	MEDIO ALTO	ALTO	0.803	0.622	0.741	0.906
2024	05303	Rinconada	Rural	5	Valparaíso	11855	0.681	0.251	0.478	199	MEDIO BAJO	0.573	0.43	0.431	92	251	238	MEDIO ALTO	MEDIO BAJO	BAJO	0.343	0.738	0.282	0.211
2024	05304	San Esteban	Mixto	5	Valparaíso	20112	0.66	0.21	0.488	182	MEDIO BAJO	0.528	0.493	0.444	129	167	226	MEDIO ALTO	MEDIO ALTO	BAJO	0.397	0.628	0.529	0.25
2024	05401	La Ligua	Mixto	5	Valparaíso	39270	0.57	0.236	0.493	175	MEDIO BAJO	0.519	0.44	0.518	138	230	130	MEDIO ALTO	MEDIO BAJO	MEDIO ALTO	0.423	0.602	0.334	0.575
2024	05402	Cabildo	Mixto	5	Valparaíso	20015	0.6	0.205	0.472	208	MEDIO BAJO	0.456	0.485	0.476	210	174	184	MEDIO BAJO	MEDIO BAJO	MEDIO BAJO	0.313	0.392	0.5	0.393
2024	05403	Papudo	Rural	5	Valparaíso	7561	0.637	0.189	0.452	238	BAJO	0.588	0.472	0.296	68	195	291	ALTO	MEDIO BAJO	BAJO	0.214	0.808	0.442	0.036
2024	05404	Petorca	Rural	5	Valparaíso	10206	0.566	0.165	0.417	272	BAJO	0.366	0.576	0.31	323	76	289	BAJO	ALTO	BAJO	0.099	0.072	0.785	0.043
2024	05405	Zapallar	Rural	5	Valparaíso	7980	0.695	0.266	0.607	15	ALTO	0.63	0.696	0.495	36	11	166	ALTO	ALTO	MEDIO BAJO	0.953	0.898	0.971	0.453
2024	05501	Quillota	Urbano	5	Valparaíso	96753	0.626	0.155	0.571	53	ALTO	0.62	0.645	0.447	45	34	223	ALTO	ALTO	MEDIO BAJO	0.833	0.872	0.907	0.26
2024	05502	Calera	Urbano	5	Valparaíso	50631	0.595	0.167	0.562	63	ALTO	0.605	0.528	0.552	55	129	91	ALTO	MEDIO ALTO	MEDIO ALTO	0.793	0.846	0.645	0.709
2024	05503	Hijuelas	Mixto	5	Valparaíso	19286	0.592	0.223	0.478	200	MEDIO BAJO	0.494	0.422	0.518	170	264	131	MEDIO ALTO	BAJO	MEDIO ALTO	0.343	0.509	0.244	0.575
2024	05504	La Cruz	Mixto	5	Valparaíso	24939	0.715	0.14	NA	NA	NA	0.612	0.512	NA	51	143	NA	ALTO	MEDIO ALTO	NA	NA	0.855	0.59	NA
2024	05506	Nogales	Rural	5	Valparaíso	22136	0.618	0.151	0.491	178	MEDIO BAJO	0.537	0.43	0.506	125	252	152	MEDIO ALTO	MEDIO BAJO	MEDIO BAJO	0.413	0.64	0.282	0.497
2024	05601	San Antonio	Urbano	5	Valparaíso	96770	0.602	0.142	0.498	164	MEDIO BAJO	0.597	0.475	0.423	62	189	247	ALTO	MEDIO BAJO	BAJO	0.46	0.826	0.471	0.188
2024	05602	Algarrobo	Mixto	5	Valparaíso	16076	0.624	0.196	0.597	22	ALTO	0.811	0.573	0.408	1	79	259	ALTO	ALTO	BAJO	0.93	1	0.776	0.141
2024	05603	Cartagena	Mixto	5	Valparaíso	24599	0.515	0.284	0.572	48	ALTO	0.6	0.655	0.462	59	29	205	ALTO	ALTO	MEDIO BAJO	0.847	0.831	0.922	0.32
2024	05604	El Quisco	Mixto	5	Valparaíso	18971	0.549	0.117	0.556	75	ALTO	0.727	0.645	0.296	7	35	292	ALTO	ALTO	BAJO	0.757	0.983	0.907	0.036
2024	05605	El Tabo	Mixto	5	Valparaíso	16260	0.539	0.207	0.604	17	ALTO	0.736	0.645	0.43	6	36	240	ALTO	ALTO	BAJO	0.947	0.985	0.907	0.207
2024	05606	Santo Domingo	Rural	5	Valparaíso	13171	0.728	0.161	0.678	2	ALTO	0.718	0.584	0.732	8	71	4	ALTO	ALTO	ALTO	0.997	0.98	0.799	0.99
2024	05701	San Felipe	Urbano	5	Valparaíso	80413	0.632	0.172	0.552	79	MEDIO ALTO	0.578	0.61	0.467	84	56	197	ALTO	ALTO	MEDIO BAJO	0.74	0.765	0.846	0.35
2024	05702	Catemu	Rural	5	Valparaíso	13760	0.568	0.185	0.515	141	MEDIO ALTO	0.452	0.43	0.664	216	253	15	MEDIO BAJO	MEDIO BAJO	ALTO	0.533	0.375	0.282	0.955
2024	05703	Llaillay	Mixto	5	Valparaíso	25484	0.629	0.155	0.53	126	MEDIO ALTO	0.493	0.52	0.576	171	135	59	MEDIO ALTO	MEDIO ALTO	ALTO	0.587	0.506	0.619	0.812
2024	05704	Panquehue	Rural	5	Valparaíso	7269	0.596	0.183	0.445	251	BAJO	0.488	0.348	0.5	177	335	158	MEDIO BAJO	BAJO	MEDIO BAJO	0.168	0.491	0.037	0.477
2024	05705	Putaendo	Mixto	5	Valparaíso	17336	0.552	0.232	0.512	145	MEDIO ALTO	0.488	0.43	0.618	178	254	28	MEDIO BAJO	MEDIO BAJO	ALTO	0.52	0.491	0.282	0.912
2024	05706	Santa María	Mixto	5	Valparaíso	15134	0.6	0.198	0.454	230	BAJO	0.446	0.422	0.496	224	265	164	MEDIO BAJO	BAJO	MEDIO BAJO	0.237	0.352	0.244	0.46
2024	05801	Quilpué	Urbano	5	Valparaíso	162559	0.675	0.16	0.594	26	ALTO	0.684	0.716	0.381	16	7	266	ALTO	ALTO	BAJO	0.923	0.956	0.983	0.118
2024	05802	Limache	Mixto	5	Valparaíso	56145	0.623	0.176	0.513	143	MEDIO ALTO	0.628	0.446	0.465	38	228	200	ALTO	MEDIO BAJO	MEDIO BAJO	0.53	0.895	0.346	0.337
2024	05803	Olmué	Rural	5	Valparaíso	19778	0.6	0.261	0.431	264	BAJO	0.546	0.355	0.392	118	332	264	MEDIO ALTO	BAJO	BAJO	0.128	0.663	0.04	0.125
2024	05804	Villa Alemana	Urbano	5	Valparaíso	139571	0.67	0.15	0.545	93	MEDIO ALTO	0.656	0.599	0.38	25	62	268	ALTO	ALTO	BAJO	0.697	0.936	0.826	0.112
2024	06101	Rancagua	Urbano	6	Libertador General Bernardo O'Higgins	257744	0.658	0.147	0.592	28	ALTO	0.642	0.618	0.516	30	49	134	ALTO	ALTO	MEDIO ALTO	0.91	0.916	0.866	0.562
2024	06102	Codegua	Mixto	6	Libertador General Bernardo O'Higgins	13955	0.615	0.182	0.469	215	MEDIO BAJO	0.443	0.464	0.498	228	206	161	MEDIO BAJO	MEDIO BAJO	MEDIO BAJO	0.287	0.343	0.407	0.467
2024	06103	Coinco	Rural	6	Libertador General Bernardo O'Higgins	7916	0.556	0.219	NA	NA	NA	0.522	0.645	NA	135	37	NA	MEDIO ALTO	ALTO	NA	NA	0.61	0.907	NA
2024	06104	Coltauco	Mixto	6	Libertador General Bernardo O'Higgins	21373	0.566	0.164	0.497	167	MEDIO BAJO	0.496	0.403	0.593	167	290	40	MEDIO ALTO	BAJO	ALTO	0.45	0.517	0.175	0.873
2024	06105	Doñihue	Mixto	6	Libertador General Bernardo O'Higgins	21925	0.611	0.151	0.548	84	MEDIO ALTO	0.513	0.674	0.456	148	19	214	MEDIO ALTO	ALTO	MEDIO BAJO	0.727	0.576	0.948	0.29
2024	06106	Graneros	Mixto	6	Libertador General Bernardo O'Higgins	35938	0.597	0.133	0.416	273	BAJO	0.592	0.321	0.335	64	341	285	ALTO	BAJO	BAJO	0.095	0.82	0.014	0.056
2024	06107	Las Cabras	Rural	6	Libertador General Bernardo O'Higgins	27554	0.537	0.165	0.444	253	BAJO	0.409	0.459	0.463	268	210	204	BAJO	MEDIO BAJO	MEDIO BAJO	0.161	0.227	0.398	0.327
2024	06108	Machalí	Urbano	6	Libertador General Bernardo O'Higgins	60875	0.78	0.129	0.558	73	ALTO	0.627	0.551	0.497	39	105	162	ALTO	MEDIO ALTO	MEDIO BAJO	0.767	0.89	0.698	0.463
2024	06109	Malloa	Rural	6	Libertador General Bernardo O'Higgins	13882	0.526	0.134	0.52	137	MEDIO ALTO	0.414	0.52	0.626	262	136	26	BAJO	MEDIO ALTO	ALTO	0.547	0.244	0.619	0.925
2024	06110	Mostazal	Mixto	6	Libertador General Bernardo O'Higgins	27394	0.594	0.21	0.474	205	MEDIO BAJO	0.52	0.501	0.401	137	159	262	MEDIO ALTO	MEDIO ALTO	BAJO	0.327	0.605	0.552	0.132
2024	06111	Olivar	Mixto	6	Libertador General Bernardo O'Higgins	13901	0.643	0.184	0.556	76	ALTO	0.463	0.448	0.758	201	221	2	MEDIO BAJO	MEDIO BAJO	ALTO	0.757	0.422	0.369	0.997
