anio	comuna	codigo_comuna	region	id_region	habitantes	indice_de_desarrollo_humano	indice_pobreza_multidimensional	v	v_ranking	v_cat	v1	v1_cat	v3	v3_cat	v2	v2_cat	v_gauge	v1_gauge	v2_gauge	v3_gauge
2024	Iquique	01101	Tarapacá	1	230595	0.685	0.183	0.563	61	ALTO	0.592	ALTO	0.46	MEDIO BAJO	0.637	ALTO	0.8	0.82	0.89	0.31
2024	Alto Hospicio	01107	Tarapacá	1	140282	0.578	0.326	0.576	40	ALTO	0.511	MEDIO ALTO	0.663	ALTO	0.554	MEDIO ALTO	0.87	0.57	0.735	0.951
2024	Pozo Almonte	01401	Tarapacá	1	18452	0.617	0.25	0.482	188	MEDIO BAJO	0.445	MEDIO BAJO	0.491	MEDIO BAJO	0.509	MEDIO ALTO	0.377	0.346	0.578	0.44
2024	Camiña	01402	Tarapacá	1	1379	0.463	0.223	NA	NA	NA	0.366	BAJO	NA	NA	0.358	BAJO	NA	0.072	0.043	NA
2024	Colchane	01403	Tarapacá	1	1569	0.407	0.3	NA	NA	NA	0.366	BAJO	NA	NA	0.403	BAJO	NA	0.072	0.175	NA
2024	Huara	01404	Tarapacá	1	3080	0.515	0.386	NA	NA	NA	0.36	BAJO	NA	NA	0.374	BAJO	NA	0.046	0.092	NA
2024	Pica	01405	Tarapacá	1	6231	0.627	0.168	0.442	255	BAJO	0.363	BAJO	0.548	MEDIO ALTO	0.414	BAJO	0.155	0.055	0.21	0.682
2024	Antofagasta	02101	Antofagasta	2	441211	0.696	0.167	0.561	64	ALTO	0.616	ALTO	0.464	MEDIO BAJO	0.602	ALTO	0.79	0.863	0.828	0.333
2024	Mejillones	02102	Antofagasta	2	15659	0.647	0.199	0.511	149	MEDIO ALTO	0.51	MEDIO ALTO	0.358	BAJO	0.666	ALTO	0.513	0.567	0.936	0.095
2024	Sierra Gorda	02103	Antofagasta	2	1792	0.618	0.165	NA	NA	NA	0.577	ALTO	NA	NA	0.69	ALTO	NA	0.756	0.968	NA
2024	Taltal	02104	Antofagasta	2	13929	0.64	0.211	0.458	224	MEDIO BAJO	0.51	MEDIO ALTO	0.43	BAJO	0.435	MEDIO BAJO	0.257	0.567	0.285	0.207
2024	Calama	02201	Antofagasta	2	195423	0.689	0.168	0.537	110	MEDIO ALTO	0.597	ALTO	0.504	MEDIO BAJO	0.509	MEDIO ALTO	0.637	0.826	0.578	0.493
2024	Ollagüe	02202	Antofagasta	2	274	NA	0.161	NA	NA	NA	0.392	BAJO	NA	NA	0.366	BAJO	NA	0.158	0.08	NA
2024	San Pedro de Atacama	02203	Antofagasta	2	10929	0.565	0.225	0.479	196	MEDIO BAJO	0.379	BAJO	0.482	MEDIO BAJO	0.576	ALTO	0.36	0.112	0.785	0.41
2024	Tocopilla	02301	Antofagasta	2	28333	0.631	0.205	0.575	43	ALTO	0.589	ALTO	0.586	ALTO	0.549	MEDIO ALTO	0.863	0.814	0.695	0.854
